,age,bmi,grade,q13,q18,q25,q26,q47,q57,qnowt,race4,sex,sitecode,year,q70,q50,q15,q16,q17,q67,q68,q23,q51,q53,q32,q69,q46,q19,q12,q8,q9,q41,q40,q27,carRiskScore
387700,3.0,,1.0,,,2.0,2.0,1.0,2.0,,3.0,2.0,CE,2017,,,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,2.0,1.0,5.0,5.0,1.0,,,263.1578947368421
387701,3.0,17.42791273,1.0,,,1.0,1.0,3.0,1.0,2.0,2.0,2.0,CE,2017,2.0,,1.0,2.0,6.0,3.0,4.0,2.0,,,1.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,4.0,,78.94736842105263
387702,3.0,29.19567917,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,7.0,,1.0,2.0,1.0,4.0,1.0,2.0,,,1.0,2.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,,263.1578947368421
387703,3.0,34.06693878,1.0,,,2.0,2.0,1.0,1.0,2.0,3.0,2.0,CE,2017,,,1.0,1.0,1.0,,,2.0,,,1.0,,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,26.31578947368421
387704,3.0,17.89453125,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,3.0,,1.0,1.0,2.0,3.0,3.0,2.0,,,1.0,5.0,5.0,2.0,2.0,5.0,3.0,,,,131.57894736842104
387705,3.0,23.38754325,1.0,,,2.0,2.0,,,1.0,2.0,2.0,CE,2017,7.0,,1.0,1.0,1.0,3.0,2.0,2.0,,,1.0,2.0,,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387706,3.0,25.6087922,1.0,,,2.0,2.0,1.0,2.0,1.0,3.0,2.0,CE,2017,7.0,,1.0,1.0,1.0,3.0,1.0,2.0,,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,,78.94736842105263
387707,3.0,21.0859375,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,CE,2017,2.0,,1.0,8.0,4.0,2.0,2.0,2.0,,,1.0,7.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,,289.4736842105263
387708,3.0,16.48096886,1.0,,,2.0,2.0,1.0,,2.0,2.0,2.0,CE,2017,,,3.0,1.0,1.0,,,2.0,,,1.0,,1.0,2.0,5.0,2.0,1.0,1.0,1.0,,131.57894736842104
387709,3.0,21.03114187,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,5.0,,1.0,1.0,1.0,3.0,3.0,2.0,,,1.0,5.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,78.94736842105263
387710,3.0,23.85813149,1.0,,,1.0,2.0,1.0,1.0,1.0,3.0,2.0,CE,2017,3.0,,1.0,1.0,2.0,3.0,1.0,2.0,,,1.0,1.0,5.0,2.0,5.0,5.0,1.0,2.0,2.0,,0.0
387711,3.0,20.73469388,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,2.0,,1.0,1.0,1.0,4.0,1.0,2.0,,,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,78.94736842105263
387712,3.0,,1.0,,,2.0,2.0,1.0,,,3.0,2.0,CE,2017,3.0,,1.0,1.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,,105.26315789473684
387713,3.0,32.5844898,1.0,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,CE,2017,2.0,,1.0,2.0,2.0,1.0,,2.0,,,1.0,,,2.0,1.0,3.0,2.0,1.0,1.0,,210.52631578947367
387714,3.0,,1.0,,,2.0,2.0,1.0,2.0,,3.0,2.0,CE,2017,1.0,,1.0,1.0,1.0,3.0,1.0,2.0,,,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,26.31578947368421
387715,3.0,24.70513549,1.0,,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,CE,2017,2.0,,1.0,1.0,2.0,3.0,1.0,2.0,,,1.0,6.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,,210.52631578947367
387716,3.0,23.09876543,1.0,,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,CE,2017,3.0,,1.0,1.0,4.0,3.0,2.0,2.0,,,1.0,2.0,4.0,2.0,1.0,3.0,3.0,1.0,1.0,,210.52631578947367
387718,3.0,20.72322255,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,1.0,,1.0,1.0,3.0,3.0,1.0,2.0,,,1.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387721,3.0,20.04538804,1.0,,,2.0,2.0,4.0,1.0,2.0,,2.0,CE,2017,2.0,,1.0,4.0,4.0,2.0,2.0,2.0,,,1.0,3.0,3.0,2.0,3.0,1.0,5.0,4.0,2.0,,473.6842105263158
387723,3.0,20.40484429,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,1.0,,1.0,1.0,1.0,3.0,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,78.94736842105263
387724,3.0,20.99815575,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,5.0,,1.0,1.0,8.0,3.0,3.0,2.0,,,1.0,1.0,1.0,2.0,2.0,3.0,5.0,1.0,1.0,,342.10526315789474
387725,3.0,16.55328798,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,2.0,,1.0,1.0,3.0,2.0,2.0,2.0,,,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,26.31578947368421
387726,3.0,26.13087752,1.0,,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,CE,2017,3.0,,1.0,1.0,1.0,4.0,1.0,2.0,,,1.0,2.0,1.0,2.0,1.0,5.0,5.0,1.0,,,263.1578947368421
387727,3.0,20.1868451,1.0,,,2.0,2.0,,,2.0,2.0,2.0,CE,2017,1.0,,2.0,1.0,1.0,3.0,2.0,2.0,,,,,,2.0,1.0,4.0,1.0,,,,26.31578947368421
387728,3.0,21.2041205,2.0,,,2.0,2.0,6.0,2.0,2.0,2.0,2.0,CE,2017,2.0,,1.0,3.0,3.0,2.0,3.0,2.0,,,1.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0,3.0,,0.0
387730,3.0,25.59945057,1.0,,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,CE,2017,2.0,,1.0,1.0,3.0,2.0,2.0,2.0,,,1.0,3.0,1.0,1.0,1.0,3.0,1.0,,,,78.94736842105263
387731,3.0,32.08465369,1.0,,,2.0,2.0,1.0,2.0,2.0,3.0,2.0,CE,2017,2.0,,1.0,1.0,1.0,4.0,1.0,2.0,,,1.0,2.0,4.0,2.0,1.0,4.0,1.0,1.0,,,26.31578947368421
387732,3.0,19.59876543,1.0,,,1.0,2.0,1.0,2.0,2.0,3.0,2.0,CE,2017,3.0,,1.0,1.0,1.0,3.0,3.0,2.0,,,1.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387734,3.0,24.10714286,1.0,,,2.0,2.0,1.0,2.0,1.0,4.0,2.0,CE,2017,2.0,,1.0,1.0,2.0,3.0,4.0,2.0,,,1.0,2.0,5.0,2.0,1.0,4.0,1.0,1.0,1.0,,26.31578947368421
387736,3.0,18.78128646,1.0,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,CE,2017,3.0,,1.0,1.0,2.0,3.0,2.0,2.0,,,1.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387737,3.0,28.49219467,1.0,,,2.0,1.0,1.0,1.0,2.0,4.0,2.0,CE,2017,3.0,,1.0,1.0,1.0,4.0,1.0,1.0,,,1.0,7.0,1.0,2.0,1.0,3.0,1.0,,,,78.94736842105263
387738,3.0,17.63888889,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,3.0,,1.0,1.0,5.0,2.0,2.0,2.0,,,1.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,394.7368421052632
387739,4.0,21.55864198,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,CE,2017,2.0,,1.0,1.0,1.0,3.0,3.0,2.0,,,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387740,4.0,,1.0,,,2.0,2.0,6.0,2.0,,2.0,2.0,CE,2017,1.0,,1.0,1.0,1.0,3.0,1.0,2.0,,,1.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,,157.89473684210526
387741,4.0,17.9269073,1.0,,,2.0,1.0,1.0,2.0,2.0,4.0,2.0,CE,2017,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,26.31578947368421
